university_name,country,teaching_score,international_score,research_score,grad_undergrad_ratio
University of Birmingham,United Kingdom,42.6,70.3,42.6,54:46:00
"Birkbeck, University of London",United Kingdom,25.9,85.3,25.8,55:45:00
Brandeis University,United States of America,25.3,40.3,27.3,55:45:00
Chinese University of Hong Kong,Hong Kong,47,69.5,50.2,53:47:00
Free University of Berlin,Germany,46.3,62.1,48.5,58:42:00
University of Aberdeen,United Kingdom,30.6,84.8,32.2,54:46:00
National Taiwan University,Taiwan,47.8,20.7,58.5,39 : 61
Yeshiva University,United States of America,43.6,26.4,27,53:47:00
University of Exeter,United Kingdom,31.3,73.4,33.3,54:46:00
Erasmus University Rotterdam,Netherlands,28.8,65,27.2,48:52:00
University of Warwick,United Kingdom,39.7,85.5,44.5,48:52:00
Radboud University Nijmegen,Netherlands,27.7,52.3,43.8,58:42:00
University College Dublin,Republic of Ireland,25.2,83.2,23.7,
VU University Amsterdam,Netherlands,30.4,48,35.3,56:44:00
Medical University of South Carolina,United States of America,43.9,23.9,38.9,
Wake Forest University,United States of America,36.4,17.2,21.6,51:49:00
Texas A&M University,United States of America,42.3,36,51.8,47:53:00
University of Reading,United Kingdom,36.9,75.1,38.6,55:45:00
Tel Aviv University,Israel,47.3,30.1,60.7,
University of Illinois at Chicago,United States of America,53.3,27.2,43.9,53:47:00
RWTH Aachen University,Germany,36.1,67.1,25.1,31 : 69
Nanyang Technological University,Singapore,41.4,89.8,47.8,48:52:00
Paris Diderot University – Paris 7,France,23.3,70.7,18.7,63:37:00
Université Catholique de Louvain,Belgium,29.2,72.5,34.7,54:46:00
University of Miami,United States of America,45.7,30.3,23.3,50:50:00
Queen’s University,Canada,39.7,65,36.1,58:42:00
University of Auckland,New Zealand,28.3,92.9,35,54:46:00
University of New South Wales,Australia,36.1,85.1,40.2,47:53:00
University of Dundee,United Kingdom,20.8,62.5,20.1,60:40:00
University of Victoria,Canada,16.8,70.5,31.5,56:44:00
Technical University of Denmark,Denmark,31.9,65.2,24.1,27 : 73
University of São Paulo,Brazil,61.7,22.9,58,48:52:00
University of Delaware,United States of America,26.4,29.8,37.2,56:44:00
Goethe University Frankfurt,Germany,30.5,57.6,21.7,60:40:00
University of Liverpool,United Kingdom,34.8,73.1,33.5,52:48:00
University of Oslo,Norway,33.5,63.9,36.9,
Iowa State University,United States of America,32.8,28.3,30.1,44:56:00
University of Ottawa,Canada,38.9,49.6,34.8,60:40:00
Pompeu Fabra University,Spain,23.4,54.3,16.1,59:41:00
KTH Royal Institute of Technology,Sweden,40.9,82.1,39.5,30 : 70
University of Tübingen,Germany,34.4,58.1,24.1,58:42:00
University of Freiburg,Germany,35.7,55.6,18.7,52:48:00
University of Western Australia,Australia,32.1,90,35.8,50:50:00
University of Bergen,Norway,29,73.5,26.6,60:40:00
University of Science and Technology of China,China,38.9,14.8,23.5,
City University of Hong Kong,Hong Kong,30.2,61.6,35,51:49:00
University of Konstanz,Germany,29,63.7,29.7,54:46:00
Boston College,United States of America,26.5,41.4,18.9,54:46:00
Karlsruhe Institute of Technology,Germany,34.6,64.9,19.6,26 : 74
Georgia Health Sciences University,United States of America,49,32.1,14.2,
Maastricht University,Netherlands,30.6,86.4,30.5,56:44:00
University of Leicester,United Kingdom,27.6,84.9,30.3,54:46:00
University of Twente,Netherlands,32.9,56.2,30.4,37 : 63
